sentence_id,relation_instance_id,relation,is_expressed,is_not_expressed,not_sure_expressed,is_bad_pattern,total_anns
34,51,/people/person/nationality,7,0,0,1,8
34,52,/people/person/nationality,7,0,0,1,8
157,53,/people/person/place_of_birth,1,5,0,0,7
7411,54,/people/person/nationality,7,0,0,1,8
7413,55,/people/person/nationality,6,1,0,1,8
8685,56,/people/person/nationality,9,0,0,1,10
8464,57,/people/person/places_lived|/people/place_lived/location,0,6,0,1,7
8557,58,/people/person/nationality,5,2,0,4,8
8557,59,/people/person/nationality,6,1,0,1,8
7178,60,/people/person/nationality,5,3,0,0,9
7360,61,/people/person/nationality,4,2,0,0,7
7829,62,/people/person/nationality,7,0,0,0,8
7829,63,/people/person/nationality,6,1,0,5,8
7837,64,/people/person/nationality,1,6,0,2,8
8930,65,/people/person/nationality,8,0,0,1,9
8930,66,/people/person/nationality,8,0,0,1,9
7111,67,/people/person/nationality,6,1,0,6,8
7111,68,/people/person/nationality,7,0,0,1,8
7138,69,/people/person/nationality,7,0,0,0,8
8004,70,/people/person/nationality,7,0,0,1,8
8004,71,/people/person/nationality,6,1,0,4,8
8004,72,/people/person/nationality,6,1,0,4,8
7050,73,/people/person/nationality,6,0,0,0,7
9016,74,/people/person/nationality,5,2,0,1,8
9016,75,/people/person/nationality,6,1,0,4,8
9016,76,/people/person/nationality,7,0,0,0,8
9016,77,/people/person/nationality,7,0,0,4,8
8911,78,/people/person/nationality,6,1,0,0,8
7542,79,/people/person/nationality,6,1,0,3,8
8794,80,/people/person/nationality,0,6,0,0,7
8794,81,/people/person/nationality,6,0,0,0,7
7215,82,/people/person/nationality,7,0,0,0,8
7215,83,/people/person/nationality,6,1,0,1,8
9227,84,/people/person/nationality,6,0,0,0,7
9232,85,/people/person/nationality,2,5,0,3,8
9232,86,/people/person/nationality,1,6,0,4,8
8742,87,/people/person/nationality,8,0,0,1,9
7803,88,/people/person/nationality,7,0,0,1,8
7803,89,/people/person/nationality,7,0,0,1,8
7804,90,/people/person/nationality,3,3,0,1,7
7807,91,/people/person/nationality,7,0,0,0,8
7807,92,/people/person/places_lived|/people/place_lived/location,7,0,0,0,8
7807,93,/people/person/nationality,6,1,0,0,8
7807,94,/people/person/places_lived|/people/place_lived/location,7,0,0,0,8
6978,95,/people/person/nationality,6,0,0,0,7
9011,96,/people/person/nationality,6,0,0,0,7
9037,97,/people/person/nationality,6,0,0,0,7
9037,98,/people/person/nationality,5,1,0,5,7
7729,99,/people/person/nationality,7,0,0,0,8
8084,100,/people/person/nationality,6,1,0,1,8
