dataset_sentence_id;;sentence
34;;The Joint Declaration on Principles of Mutual Relations, signed by visiting Tajikistan President Emomali Sharifovich Rakhmonov and Indian Prime Minister Atal Bihari Vajpayee here, charts out the future course of intensified cooperation between the two countries in diversified fields, the Press Trust of India (PTI) reported.
34;;The Joint Declaration on Principles of Mutual Relations, signed by visiting Tajikistan President Emomali Sharifovich Rakhmonov and Indian Prime Minister Atal Bihari Vajpayee here, charts out the future course of intensified cooperation between the two countries in diversified fields, the Press Trust of India (PTI) reported.
157;;On board the delivery flight from the Airbus facility in France were Rafael Hui, Chief Secretary for Administration of the Hong  Kong SAR Government, and Cathay Pacific Chief Executive Philip  Chen.
7411;;Spadea ousted Thailand's Danai Udomchoke 6-3, 6-4 while the 13th- ranked Scottish teen eased past Kevin Kim of the United States 6-3, 6-1.
7413;;Germany's Bjorn Phau also advanced to the second round with a straight-set victory as he eliminated Greece's Konstantinos Economidis 6-2, 6-3.
8685;;Kazakh President Nursultan Nazarbayev, Ukrainian President Viktor Yushchenko, Afghan President Hamid Karzai and Russian Prime Minister Mikhail Fradkov.
8464;;billionaire and philanthropist Eli Broad, who spearheaded the three-phase development project, said the project would change the entire complexion of Los Angeles.
8557;;Li Weiyi, spokesman for the Taiwan Affairs Office of the State Council,said the mainland has noticed Taiwan prosecutors' indictment against Taiwan's major opposition party leader Ma Ying-jeou.
8557;;Li Weiyi, spokesman for the Taiwan Affairs Office of the State Council,said the mainland has noticed Taiwan prosecutors' indictment against Taiwan's major opposition party leader Ma Ying-jeou.
7178;;Taiwan's main opposition party, the Kuomintang (KMT), said Wednesday the resignation of Ma Ying-jeou from the post of KMT chairman has taken effect.
7360;;But President Museveni said that no amount of pressure or threats from the ousted Islamist hard-liners would stop the deployment of Ugandan troops.
7829;;But Cypriot President Tassos Papadopoulos ignored the warning, saying that Cyprus will not surrender its sovereign rights.
7829;;But Cypriot President Tassos Papadopoulos ignored the warning, saying that Cyprus will not surrender its sovereign rights.
